Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-05,1,2024,Rockwell,Rowan,35.551868,-80.395039,25.0,43.0
2024-01-05,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,24.0
2024-01-06,1,2024,Bryson City,Swain,35.434767,-83.442133,,16.0
2024-01-06,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,29.0
2024-01-06,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,48.0
2024-01-06,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,54.0
2024-01-06,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,21.0,23.0
2024-01-06,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,51.0
2024-01-06,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,25.0
2024-01-06,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,48.0
2024-01-06,1,2024,Millbrook School,Wake,35.856111,-78.574167,24.0,34.0
2024-01-06,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,18.0
2024-01-06,1,2024,Rockwell,Rowan,35.551868,-80.395039,22.0,39.0
2024-01-06,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,20.0
2024-01-07,1,2024,Bryson City,Swain,35.434767,-83.442133,,8.0
2024-01-07,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,22.0
2024-01-07,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,23.5
2024-01-07,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,42.0
2024-01-07,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,6.0
2024-01-07,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,31.0,15.0
2024-01-07,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,23.0
2024-01-07,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,11.0
2024-01-07,1,2024,Linville Falls,Avery,35.972347,-81.933072,,5.0
2024-01-07,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,24.0
2024-01-07,1,2024,Millbrook School,Wake,35.856111,-78.574167,30.0,18.5
2024-01-07,1,2024,Old High School,Swain,35.498711,-83.310242,,13.0
2024-01-07,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,8.0
2024-01-07,1,2024,Rockwell,Rowan,35.551868,-80.395039,32.0,11.0
2024-01-07,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,13.0
2024-01-08,1,2024,Bryson City,Swain,35.434767,-83.442133,,17.0
2024-01-08,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,23.0
2024-01-08,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,27.0
2024-01-08,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,49.0
2024-01-08,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,29.0,24.0
2024-01-08,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,26.0
2024-01-08,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,19.0
2024-01-08,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,27.0
2024-01-08,1,2024,Millbrook School,Wake,35.856111,-78.574167,30.0,23.0
2024-01-08,1,2024,Old High School,Swain,35.498711,-83.310242,,12.0
2024-01-08,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,11.0
2024-01-08,1,2024,Rockwell,Rowan,35.551868,-80.395039,30.0,27.0
2024-01-08,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,23.0
2024-01-09,1,2024,Bryson City,Swain,35.434767,-83.442133,,8.0
